"Rec_id","Zast_id","Name_short","Zkratka","Typ","Sloupky","Zapsano"
"31030514001",0,"(?)","(?)",,,0
"31030514002",2,"Na Knížecí","nKn","M","05=0241,06=0240,",0
"31030514003",4,"Arbesovo nám.","ArN",,"01=0008,02=0007,",0
"31030514004",7,"ČSAD Smíchov","ČSm",,"01=0054,02=0053,",0
"31030514005",12,"Balabenka","Bal",,"01=0011,02=0009,03=0010,",0
"31030514006",15,"Baterie","Bat","K","01=0013M,02=0012M,",0
"31030514007",19,"Belárie","Bel",,"01=0605,02=0604,",0
"31030514008",20,"Král. letohrádek","KLe","K","01=0014,02=0015,",0
"31030514009",25,"Bertramka","Ber",,"01=0017,02=0016,",0
"31030514010",31,"Bílá Hora","BíH","S","01=0020MN,02=0516MV,03=0625N,04=0626V,",0
"31030514011",32,"Bílá labuť","BíL",,"01=0021,02=0022,03=0452,",0
"31030514012",34,"Biskupcova","Bis",,"01=0019M,02=0018M,",0
"31030514013",40,"Bořislavka","Boř",,"01=0026,02=0025,",0
"31030514014",42,"Botanická zahr.","BoZ",,"01=0027,02=0028,",0
"31030514015",45,"Bruselská","Bru",,"01=0029,02=0030,",0
"31030514016",46,"Brusnice","Brs",,"01=0031M,02=0032M,",0
"31030514017",47,"Blatiny","Bla",,"01=0024M,02=0023M,",0
"31030514018",49,"Geologická","Geo",,"04=0691M,05=0690M,",0
"31030514019",54,"Bulovka","Bul",,"01=0035,02=0036,",0
"31030514020",67,"Čechovo nám.","ČeN","S","02=0037M,03=0665,04=0514M,05=0679,08=0288VF,",0
"31030514021",68,"Čechův most","ČeM",,"01=0038,02=0039,",0
"31030514022",70,"Černokostelecká","Čks","K","01=0041M,02=0042M,",0
"31030514023",71,"Černý kůň","ČeK",,"01=0603,02=0602,",0
"31030514024",72,"Lehovec","Leh","S","01=0186MN,02=0520V,03=0628N,",0
"31030514025",73,"Červený Vrch","ČeV","S","01=0045,02=0044M,03=0629MN,04=0163VF,05=0630N,",0
"31030514026",75,"Kolbenova","Kol","M","01=0052,02=0051,",0
"31030514027",76,"Modřanská škola","MŠk",,"01=0607,02=0606,",0
"31030514028",78,"Ládví","Lád","KM","01=0184M,02=0185M,",0
"31030514029",81,"Dělnická","Děl",,"01=0059,02=0058,",0
"31030514030",83,"Div. Na Fidlov.","DnF",,"01=0061,02=0062,",0
"31030514031",85,"Divoká Šárka","DiŠ","S","01=0063MN,02=0517V,03=0631N,04=0632V,",0
"31030514032",86,"Dlabačov","Dla","S","01=0064N,02=0564V,03=0633N,04=0634VF,05=0635N,06=0636V,",0
"31030514033",87,"Dlouhá třída","DTř",,"01=0065,02=0066,",0
"31030514034",100,"Vltavská","Vlt","KM","01=0462M,02=0463M,",0
"31030514035",103,"Drinopol","Dri",,"01=0067,02=0068,",0
"31030514036",110,"Dvorce","Dvo",,"01=0070M,02=0069M,03=0575,04=0579,",0
"31030514037",113,"Hlušičkova","Hlš",,"01=0094M,02=0093M,",0
"31030514038",115,"Nádr. Holešov/el","#Hš","M","01=0251,02=0252,",0
"31030514039",118,"Flora","Fla","M","01=0072,02=0071,",0
"31030514040",126,"Podbaba","Pdb","S","02=0338MN,03=0337MV,04=0764,06=0765,08=0778,",0
"31030514041",130,"Hadovka","Had",,"01=0076,02=0075,",0
"31030514042",134,"Nádr. Libeň","#Li",,"01=0077,02=0078,03=0759VF,",0
"31030514043",135,"Hloubětín","Hlo","M","01=0080,02=0079,",0
"31030514044",138,"Hellichova","Hel",,"01=0081,02=0082,",0
"31030514045",139,"Hercovka","Her",,"01=0083,02=0084,",0
"31030514046",140,"Hládkov","Hlá",,"01=0087,02=0088,03=0644,",0
"31030514047",142,"Hlavní nádraží","Hl#","KM","01=0086M,02=0085M,",0
