agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,"Dopravni podnik hl. m. Prahy, akciova spolecnost",http://www.dpp.cz,Europe/Prague,cs,"296191817"
6,"Jaroslav Stepanek",http://www.ropid.cz,Europe/Prague,cs,"284 821 024"
18,"Veolia Transport Praha s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"271720314"
63,"ABOUT ME s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"267 290 540"
29,"STENBUS s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"739 319 344"
11,"CSAD POLKOST, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"321 697 274"
13,"Okresni autobusova doprava Kolin, s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"321 622 352"
21,"BOSAK BUS, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"318521020"
8,"CSAD MHD Kladno a.s.",http://www.ropid.cz,Europe/Prague,cs,"312 825 163"
17,"Martin UHER, spol. s r.o.",http://www.ropid.cz,Europe/Prague,cs,"318 590 513"
10,"CSAD Stredni Cechy, a.s.",http://www.ropid.cz,Europe/Prague,cs,"326 911 954, 315 671 659"
22,"PROBO BUS a.s.",http://www.ropid.cz,Europe/Prague,cs,"257 318 436"
14,"PROBO BUS a.s.",http://www.ropid.cz,Europe/Prague,cs,"311 612 561"
26,"Vlastimil Slezak",http://www.ropid.cz,Europe/Prague,cs,"233 930 928"
41,"Prazske Benatky  s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"603 819 947"
42,"Vittus group s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"739 000 022"
28,"CITYLINER s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"283 890 069-70"
9,"HOTLINER s.r.o.",http://www.ropid.cz,Europe/Prague,cs,"283 890 069-70"
12,"CSAD Benesov a.s.",http://www.ropid.cz,Europe/Prague,cs,"317 722 577"
24,"Libor Valenta",http://www.ropid.cz,Europe/Prague,cs,"602 305 120"
