service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20120701,20120929
2,0,0,0,0,0,1,0,20120714,20120727
3,0,0,0,0,0,0,1,20120701,20120704
4,0,0,0,0,0,0,1,20120715,20120727
5,0,0,0,0,0,1,1,20120705,20120713
6,0,0,0,0,0,1,1,20120728,20120929
7,1,1,1,1,1,0,0,20120701,20120709
8,1,1,1,1,1,0,0,20120710,20120929
9,0,0,0,0,0,1,0,20120701,20120709
10,0,0,0,0,0,1,0,20120710,20120929
11,0,0,0,0,0,0,1,20120701,20120709
12,0,0,0,0,0,0,1,20120710,20120929
13,0,0,0,0,0,1,0,20120701,20120929
14,0,0,0,0,0,0,1,20120701,20120929
15,1,1,1,1,1,0,0,20120701,20120708
16,1,1,1,1,1,0,0,20120709,20120709
17,1,1,1,1,1,0,0,20120710,20120711
18,1,1,1,1,1,0,0,20120712,20120712
19,1,1,1,1,1,0,0,20120713,20120724
20,1,1,1,1,1,0,0,20120725,20120929
21,0,0,0,0,0,1,0,20120701,20120713
22,0,0,0,0,0,1,0,20120728,20120929
23,0,0,0,0,0,0,1,20120701,20120707
24,0,0,0,0,0,0,1,20120708,20120714
25,0,0,0,0,0,0,1,20120715,20120728
26,0,0,0,0,0,0,1,20120729,20120929
27,1,1,1,1,1,0,0,20120725,20120831
28,1,1,1,1,1,0,0,20120701,20120723
29,1,1,1,1,1,0,0,20120724,20120724
30,1,1,1,1,1,0,0,20120725,20120830
31,0,0,0,0,0,1,0,20120701,20120727
32,0,0,0,0,0,1,0,20120728,20120830
33,0,0,0,0,0,0,1,20120701,20120728
34,0,0,0,0,0,0,1,20120729,20120830
35,1,1,1,1,1,0,0,20120709,20120724
36,0,0,0,0,0,1,0,20120701,20120706
37,0,0,0,0,0,1,0,20120707,20120727
38,1,1,1,1,1,0,0,20120701,20120703
39,1,1,1,1,1,0,0,20120704,20120708
40,1,1,1,1,1,0,0,20120713,20120723
41,0,0,0,0,0,1,0,20120701,20120705
42,0,0,0,0,0,1,0,20120706,20120727
43,0,0,0,0,0,0,1,20120708,20120728
44,1,1,1,1,1,0,0,20120709,20120723
45,0,0,0,0,0,1,0,20120728,20120831
46,0,0,0,0,0,0,1,20120729,20120831
47,1,1,1,1,1,0,0,20120724,20120929
48,1,1,1,1,1,0,0,20120710,20120723
49,0,0,0,0,0,0,1,20120701,20120714
50,1,1,1,1,1,0,0,20120701,20120724
51,0,0,0,0,0,1,0,20120706,20120713
52,1,1,1,1,1,0,0,20120701,20120702
53,1,1,1,1,1,0,0,20120703,20120703
54,0,0,0,0,0,1,0,20120706,20120706
55,0,0,0,0,0,1,0,20120707,20120713
56,1,1,1,1,1,0,0,20120709,20120711
57,1,1,1,1,1,0,0,20120712,20120724
58,1,1,1,1,1,0,0,20120713,20120929
59,0,0,0,0,0,1,0,20120707,20120724
60,0,0,0,0,0,0,1,20120701,20120724
61,0,0,0,0,0,1,0,20120728,20120930
62,0,0,0,0,0,0,1,20120729,20120930
63,1,1,1,1,1,1,1,20120701,20120930
64,1,1,1,1,1,0,0,20120701,20120930
65,0,0,0,0,0,1,1,20120701,20120704
66,0,0,0,0,0,1,1,20120714,20120727
67,0,0,0,0,0,1,1,20120728,20120930
68,0,0,0,0,0,1,1,20120701,20120713
69,0,0,0,0,0,1,1,20120714,20120721
70,0,0,0,0,0,1,1,20120722,20120929
71,1,1,1,1,1,0,0,20120701,20120930
72,0,0,0,0,0,1,0,20120701,20120930
73,0,0,0,0,0,0,1,20120701,20120930
74,0,0,0,0,0,1,1,20120701,20120929
75,1,1,1,1,1,0,0,20120701,20120831
76,0,0,0,0,0,1,0,20120701,20120831
77,0,0,0,0,0,0,1,20120701,20120831
78,1,1,1,1,1,0,0,20120701,20120711
79,1,1,1,1,1,0,0,20120712,20120722
80,1,1,1,1,1,0,0,20120723,20120818
81,0,0,0,0,0,1,0,20120714,20120720
82,0,0,0,0,0,1,0,20120721,20120818
83,0,0,0,0,0,0,1,20120715,20120721
84,0,0,0,0,0,0,1,20120722,20120818
85,1,1,1,1,1,0,0,20120701,20120704
86,1,1,1,1,1,0,0,20120709,20120727
87,1,1,1,1,1,0,0,20120728,20120929
88,0,0,0,0,0,1,0,20120701,20120708
89,0,0,0,0,0,0,1,20120708,20120708
90,1,1,1,1,1,0,0,20120701,20120719
91,1,1,1,1,1,0,0,20120720,20120929
92,0,0,0,0,0,1,1,20120701,20120719
93,0,0,0,0,0,1,1,20120720,20120831
94,1,1,1,1,1,0,0,20120701,20120927
95,0,0,0,0,0,1,1,20120701,20120927
96,1,1,1,1,1,0,0,20120701,20120930
97,0,0,0,0,0,1,1,20120701,20120930
