"Rec_id","Datum","Kod","CN","UN","N2","N1","Z1","Z2","Z3","Z4","Z5","ZV","EI","SM","SI","NA","ZA","VO","Zapsano"
"03231500000","07/03/2012 23:15:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"03231500001","07/03/2012 23:15:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"03231600002","07/03/2012 23:16:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"03231600003","07/03/2012 23:16:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"03231700004","07/03/2012 23:17:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"03231700005","07/03/2012 23:17:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"03231800006","07/03/2012 23:18:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"03231800007","07/03/2012 23:18:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"03231900008","07/03/2012 23:19:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03231900009","07/03/2012 23:19:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"03232000010","07/03/2012 23:20:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232000011","07/03/2012 23:20:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"03232100012","07/03/2012 23:21:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232100013","07/03/2012 23:21:00","P8",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"03232100014","07/03/2012 23:21:00","PP",2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"03232200015","07/03/2012 23:22:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232200016","07/03/2012 23:22:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232200017","07/03/2012 23:22:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232300018","07/03/2012 23:23:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232300019","07/03/2012 23:23:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232300020","07/03/2012 23:23:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232400021","07/03/2012 23:24:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232400022","07/03/2012 23:24:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232400023","07/03/2012 23:24:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232500024","07/03/2012 23:25:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232500025","07/03/2012 23:25:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232500026","07/03/2012 23:25:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232600027","07/03/2012 23:26:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232600028","07/03/2012 23:26:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232600029","07/03/2012 23:26:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232700030","07/03/2012 23:27:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232700031","07/03/2012 23:27:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232700032","07/03/2012 23:27:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232800033","07/03/2012 23:28:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232800034","07/03/2012 23:28:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232800035","07/03/2012 23:28:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03232900036","07/03/2012 23:29:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232900037","07/03/2012 23:29:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03232900038","07/03/2012 23:29:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03233000039","07/03/2012 23:30:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233000040","07/03/2012 23:30:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233000041","07/03/2012 23:30:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03233100042","07/03/2012 23:31:00","P3",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"03233100043","07/03/2012 23:31:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233100044","07/03/2012 23:31:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233100045","07/03/2012 23:31:00","PP",3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
"03233200046","07/03/2012 23:32:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233200047","07/03/2012 23:32:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233200048","07/03/2012 23:32:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233200049","07/03/2012 23:32:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03233300050","07/03/2012 23:33:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233300051","07/03/2012 23:33:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233300052","07/03/2012 23:33:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233300053","07/03/2012 23:33:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03233400054","07/03/2012 23:34:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233400055","07/03/2012 23:34:00","P7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03233400056","07/03/2012 23:34:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233400057","07/03/2012 23:34:00","PP",3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03233500058","07/03/2012 23:35:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233500059","07/03/2012 23:35:00","P7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03233500060","07/03/2012 23:35:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233500061","07/03/2012 23:35:00","PP",3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"03233600062","07/03/2012 23:36:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233600063","07/03/2012 23:36:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233600064","07/03/2012 23:36:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233600065","07/03/2012 23:36:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03233700066","07/03/2012 23:37:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233700067","07/03/2012 23:37:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233700068","07/03/2012 23:37:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233700069","07/03/2012 23:37:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03233800070","07/03/2012 23:38:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233800071","07/03/2012 23:38:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233800072","07/03/2012 23:38:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233800073","07/03/2012 23:38:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03233900074","07/03/2012 23:39:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233900075","07/03/2012 23:39:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233900076","07/03/2012 23:39:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03233900077","07/03/2012 23:39:00","PP",4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03234000078","07/03/2012 23:40:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234000079","07/03/2012 23:40:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234000080","07/03/2012 23:40:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234000081","07/03/2012 23:40:00","PP",4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03234100082","07/03/2012 23:41:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234100083","07/03/2012 23:41:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234100084","07/03/2012 23:41:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234100085","07/03/2012 23:41:00","PP",4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03234200086","07/03/2012 23:42:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234200087","07/03/2012 23:42:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234200088","07/03/2012 23:42:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234200089","07/03/2012 23:42:00","PP",4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03234300090","07/03/2012 23:43:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234300091","07/03/2012 23:43:00","P7",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"03234300092","07/03/2012 23:43:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234300093","07/03/2012 23:43:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"03234400094","07/03/2012 23:44:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234400095","07/03/2012 23:44:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234400096","07/03/2012 23:44:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234400097","07/03/2012 23:44:00","PP",4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"03234500098","07/03/2012 23:45:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234500099","07/03/2012 23:45:00","P7",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234500100","07/03/2012 23:45:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234600102","07/03/2012 23:46:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234600103","07/03/2012 23:46:00","P7",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"03234600104","07/03/2012 23:46:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234600105","07/03/2012 23:46:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"03234700106","07/03/2012 23:47:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234700107","07/03/2012 23:47:00","P7",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"03234700108","07/03/2012 23:47:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234700109","07/03/2012 23:47:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"03234800110","07/03/2012 23:48:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234800111","07/03/2012 23:48:00","P7",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"03234800112","07/03/2012 23:48:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234800113","07/03/2012 23:48:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"03234900114","07/03/2012 23:49:00","P3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03234900115","07/03/2012 23:49:00","P7",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"03234900116","07/03/2012 23:49:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
